OID,Name,Method
RULE_HCVDT_GSKANTI-VIRALSDRVR1,HCVDT,Date where HCVBL was collected
RULE_HCVCODT_GSKANTI-VIRALSDRVR1,HCVCODT,Date where HCV co-infection was collected
RULE_AAGE1_GSKCOREDRVR1,AAGE1,"Calculated age in human years at informed consent (i.e. taking into account leap
                            years)
                        "
RULE_AAGE2_GSKCOREDRVR1,AAGE2,"Calculated age in human years at first treatment/vaccine administration (i.e.
                            taking into account leap years)
                        "
RULE_RFICDT_GSKCORE-VXDRVR1,RFICDT,Numeric date part of DM.RFICDTC
RULE_RFPENDT_GSKCORE-VXDRVR1,RFPENDT,Numeric date part of DM.RFPENDTC
RULE_ARACE_GSKCOREDRVR1,ARACE,"If DM.RACE=MULTIPLE then ARACE = ""MULTIPLE RACE CATEGORIES"". If DM.RACE =ASIAN
                            or WHITE, three cases are possible:1) Multiple RACEOR(n) values are selected in which case
                            ARACE = ""xxx - MULTIPLE HERITAGE CATEGORIES"", where xxx is the respective RACE.2) No
                            RACEOR(n) value was selected in which case ARACE = ""xxx - NOT REPORTED/OTHER"", where xxx is
                            the respective RACE.3) One RACEOR value was selected in which case ARACE = RACEOR.Otherwise
                            ARACE = RACE.
                        "
RULE_AGEGR2_GSKCOREDRVR1,AGEGR2,"Age group classification according to FDA categories. Derived from ADSL.AAGE2.
                        "
RULE_TR01SDTF_GSKCOREDRVR1,TR01SDTF,"TR01SDTF = Y if the year is imputed. TR01SDTF = M if year is present and month
                            is imputed. TR01SDTF = D if only day is imputed.
                        "
RULE_TR01EDTF_GSKCOREDRVR1,TR01EDTF,"TR01EDTF = Y if the year is imputed. TR01EDTF = M if year is present and month
                            is imputed. TR01EDTF = D if only day is imputed.
                        "
RULE_AP01SDTF_GSKCOREDRVR1,AP01SDTF,"AP01SDTF = Y if the year is imputed. AP01SDTF = M if year is present and month
                            is imputed. AP01SDTF = D if only day is imputed.
                        "
RULE_AP01EDTF_GSKCOREDRVR1,AP01EDTF,"AP01EDTF = Y if the year is imputed. AP01EDTF = M if year is present and month
                            is imputed. AP01EDTF = D if only day is imputed.
                        "
RULE_TRTSDTF_GSKCOREDRVR1,TRTSDTF,"TRTSDTF = Y if the year is imputed. TRTSDTF = M if year is present and month is
                            imputed. TRTSDTF = D if only day is imputed.
                        "
RULE_TRTEDTF_GSKCOREDRVR1,TRTEDTF,"TRTEDTF = Y if the year is imputed. TRTEDTF = M if year is present and month is
                            imputed. TRTEDTF = D if only day is imputed.
                        "
RULE_BRTHDTF_GSKCOREDRVR1,BRTHDTF,"BRTHDTF = Y if the year is imputed. BRTHDTF = M if year is present and month is
                            imputed. BRTHDTF = D if only day is imputed.
                        "
RULE_RFPENDTF_GSKCORE-VXDRVR1,RFPENDTF,"RFPENDTF = Y if the year is imputed. RFPENDTF = M if year is present and month
                            is imputed. RFPENDTF = D if only day is imputed.
                        "
